"name","total","new_cases","total_deaths","new_deaths","total_recovered","new_recovered","active_cases","critical_cases","population"
"Costa Rica","566,429","","7,284 ","","543,602","","15,543","92","5,159,168 "
"Sri Lanka","560,833","+488","14,232 ","","528,806","+406","17,795","","21,538,857 "
"Saudi Arabia","549,642","+24","8,830 ","+1","538,784","+44","2,028","45","35,571,521 "
"Ireland","546,909","","5,652 ","","429,857","","111,400","126","5,014,902 "
"Bolivia","533,756","+1,125","19,121 ","+17","489,832","+461","24,803","220","11,895,582 "
"Ecuador","524,432","","33,128 ","","443,880","","47,424","759","18,017,452 "
"Myanmar","520,706","+493","19,067 ","+9","494,748","+641","6,891","","54,919,990 "
"Panama","476,813","","7,360 ","","466,850","","2,603","20","4,409,682 "
"Denmark","470,893","+4,076","2,850 ","+9","403,118","","64,925","53","5,820,740 "
"Lithuania","464,562","+2,002","6,644 ","+14","428,639","+2,051","29,279","131","2,669,097 "
"Paraguay","462,533","","16,366 ","","445,486","","681","40","7,255,017 "
"S. Korea","432,901","+3,899","3,440 ","+39","383,551","+1,700","45,910","617","51,330,928 "
"Palestine","429,123","","4,521 ","","421,829","","2,773","38","5,266,976 "
"Venezuela","428,453","","5,115 ","","415,284","","8,054","681","28,323,170 "
